level,item,word,part_of_speech,pronunciation,meaning
1,36,amusement,n.,อะมิวซฺเมินทฺ,ความเพลิดเพลิน
1,37,animal,n.,แอนิมอล,สัตว์
1,38,ankle,n.,แองเคิล,ข้อเท้า
1,39,answer,n.,แอนเซอะ,"คำตอบ, ผลลัพธ์"
1,40,any,pron.,เอนนี่,"คนหนึ่งหนึ่งคนใด, ใคร, ใดๆ, สิ่งใดๆ"
1,41,apartment,n.,อะพาทเมินทฺ,อพาร์ตเมนท์
1,42,appearance,n.,อะเพียเรินซฺ,"การปรากฏตัว, ลักษณะท่าทาง"
1,43,architect,n.,อะคีเทคทฺ,สถาปนิก
1,44,arrive,v.,อะไรฟฺ,มาถึง
1,45,arrow,n.,แอโรวฺ,ลูกธนู
1,46,artist,n.,อาร์ทิสทฺ,"นักศิลปะ, นักแสดง"
1,47,ask,v.,อาสคฺ,"ถาม, ขอร้อง"
1,48,asleep,adj.,แอสลีพ,ซึ่งหลับอยู่
1,49,astronaut,n.,แอสโตรนอท,มนุษย์อวกาศ
1,50,athlete,n.,แอทลีธ,นักกีฬา
1,51,aunt,n.,อานทฺ,"ป้า, น้าชาย, อาชาย"
1,52,avocado,n.,อะโวคาโด,ผลอโวคาโด
1,53,axe,n.,แอกซฺ,ขวาน
1,54,back,n.,แบค,"หลัง, ข้างหลัง"
1,55,backpack,n.,แบกแพค,กระเป๋าสะพายหลัง
1,56,bad,adj.,แบด,"ชั่วร้าย, ไม่ดี, เลว, เสีย"
1,57,badminton,n.,แบดมินเทิน,กีฬาแบดมินตัน
1,58,bag,n.,แบก,"ถุง, กระเป๋า"
1,59,bake,v.,เบค,"ทำขนมปัง, ผิง, อบ"
1,60,bakery,n.,เบเกอรี่,ร้านขายขนมปง
1,61,banana,n.,บะแนนนะ,กล้วย
1,62,band,n.,แบนดฺ,วงดนตรี
1,63,bank,n.,แบงคฺ,"ธนาคาร, ตลิ่ง"
1,64,barbecue,n.,บาร์บีคิว,การย่างเนื้อ
1,65,bark,v.,บาร์คฺ,เห่า
1,66,baseball,n.,เบสบอล,กีฬาเบสบอล
1,67,basket,n.,บาสเกท,"กระจาด, ตะกร้า, กระบุง"
1,68,bat,n.,แบท,"ค้างคาว, กระบอง"
1,69,bath,v.,บาธ,อาบน้ำ
1,70,bathroom,n.,บาธรูม,ห้องนน้ำ
1,71,beach,n.,บีช,ชายหาด
1,72,bean,n.,บีน,"ฝักถั่ว, ถั่ว"
1,73,bear,n.,แบร์,หมี
1,74,beautiful,adj.,บิวทิฟูล,"สวย, งดงาม"
1,75,because,conj.,บีเคิส,"เพราะว่า, เนื่องจาก"
1,76,bed,n.,เบด,"เตียงนอน, ที่สำหรับนอน"
1,77,bedroom,n.,เบดรูม,ห้องนอน
1,78,bee,n.,บี,ผึ้ง
1,79,beef,n.,บีฟ,เนื้อวัว
1,80,begin,v.,บีกิน,เริ่ม
1,81,belt,n.,เบลทฺ,"เข็มขัด, สายพาน"
1,82,berry,n.,เบอรี่,ผลไม้ตระกูลเบอร์รี่
1,83,best,adj.,เบสทฺ,ดีที่สุด
1,84,between,prep.,บีทวีน,"ระหว่าง, คั่นกลาง"
1,85,beverage,n.,เบฟเวอเรจ,เครื่องดื่ม
1,86,big,adj.,บิก,ใหญ่
1,87,bill,n.,บิล,"ใบเสร็จเก็บเงิน, บัญชีรายการ, ตั๋ว"
1,88,biology,n.,ไบออลโลจิ,ชีววิทยา
1,89,bird,n.,เบิร์ด,"นก, สัตวปีก"
1,90,birthday,n.,เบิร์ธเด,วันเกิด
1,91,bite,v.,ไบทฺ,"กัด, กิน"
1,92,black,adj.,แบลค,สีดำ
1,93,blanket,n.,แบลงคิท,ผ้าห่ม
1,94,block,n.,บลอค,"ตึกใหญ่, สิ่งกีดขวาง"
1,95,blood,n.,บลัด,"เลือด, สายเลือด"
1,96,bloom,n.,บลูม,"การออกดอก, ความเบ่งบาน"
1,97,blouse,n.,เบลาซฺ,เสื้อครึ่งตัวของสตรี
1,98,blow,v.,โบลวฺ,"เป่าลม, ผิวปาก"
1,99,board,n.,บอร์ด,"ไม้กระดาน, บอร์ด"
1,100,boat,n.,โบท,เรือ
1,101,body,n.,บอดี,"ร่างกาย, ร่าง"
1,102,boil,v.,บอยลฺ,ทำให้เดือด
1,103,book,n.,บุค,หนังสือ
1,104,bookstore,n.,บุค สตอร์,ร้านหนังสือ
1,105,boot,n.,บูท,รองเท้าบูท
1,106,bored,adj.,บอรดฺ,เบื่อหน่าย
1,107,boring,adj.,บอริ่ง,น่าเบื่อหน่าย
1,108,borrow,v.,บอรโรว,ยืม
1,109,bottle,n.,บอทเทิล,ขวด
1,110,bottom,n.,บอทเทิม,"ก้น, พื้นฐาน"
1,111,bowl,n.,โบวฺ,"การโยนโบวลิ่ง, ลูกโบวลิ่ง"
1,112,box,n.,บอกซฺ,กล่อง
1,113,boy,n.,บอยลฺ,เด็กผู้ชาย
1,114,boyfriend,n.,บอยเฟรนดฺ,เพื่อนชาย
1,115,brain,n.,เบรน,"สมอง, สติปํญญา, คนฉลาด"
1,116,bread,n.,เบรด,ขนมปัง
1,117,break,v.,เบรก,"ทำแตก, ทุบ, ทำลาย"
1,118,breakfast,n.,เบรคเฟิสทฺ,อาหารเช้า
1,119,bridge,n.,บริจ,สะพาน
1,120,British,n.,บริทิช,คนอังกฤษ
1,121,brother,n.,บราเธอะ,พี่/น้องชาย
1,122,brother-in-law,n.,บราเธอะ อิน ลอ,น้องเขย
1,123,brown,n.,บราวนฺ,สีน้ำตาล
1,124,brush,n.,บรัช,"แปรง, พู่กัน"
1,125,bucket,n.,บัคคิท,ถังน้ำ
1,126,bug,n.,บัก,แมลง
1,127,Burmese,n.,เบอร์มิส,"ชาวพม่า, ภาษาพม่า"
1,128,burn,v.,เบิร์น,"เผา, ลวก, สุก, ไหม้, ทำให้ไหม้"
1,129,bus,n.,บัส,รถประจำทาง
1,130,business,n.,บิซซิเนส,"ธุรกิจ, กิจการ"
1,131,businessman,n.,บิซซิเนสแมน,นักธุรกิจ
1,132,businesswoman,n.,บิซซิเนสวูแมน,นักธุรกิจหญิง
1,133,busy,adj.,บิซซี่,"ไม่ว่าง, หมกมุ่น, ยุ่ง"
1,134,but,conj.,บัท,"แต่, นอกจาก, เว้นแต่, หากแต่"
1,135,butter,n.,บัทเทอะ,เนยเหลว
1,136,buy,v.,บาย,ซื้อ
1,137,cabbage,n.,แคบบิจ,ผักจำพวกกะหล่ำปลี
1,138,cable,n.,เคเบิล,สายเคเบิล
1,139,cage,n.,เคจ,กรง
1,140,cake,n.,เคก,ขนมเค้ก
1,141,calendar,n.,คาเลนเดอะ,ปฏิทิน
1,142,call,v.,คอล,"เรียก, ร้องขอ"
1,143,camel,n.,คาเมล,อูฐ
1,144,camera,n.,คาเมร่า,กล้องถ่ายรูป
1,145,Canadian,n.,แคนนาเดียน,ชาวแคนนาดา
1,146,candle,n.,แคนเดิล,เทียน
1,147,candy,n.,แคนดี้,"ลูกกวาด, ขนม"
1,148,cap,n.,แคพ,หมวก
1,149,capital,n.,แคพปิทอล,เมืองหลวง
1,150,car,n.,คาร์,รถ
1,151,card,n.,คาร์ด,บัตร
1,152,careful,adj.,แคร์ฟูล,"ระมัดระวัง, รอบคอบ"
1,153,carpenter,n.,คาร์เพนเทอะ,ช่างไม้
1,154,carpet,n.,คาร์พิท,พรม
1,155,carrot,n.,แคร์เริท,แครอท
1,156,carry,v.,แคร์รี่,แบก
1,157,carton,n.,คาร์ทูน,กล่องกระดาษ
1,158,cash,n.,แคช,เงินสด
1,159,cat,n.,แคท,แมว
1,160,cell phone,n.,เซล โฟน,โทรศัพท์มือถือ
1,161,center,n.,เซนเทอะ,ศูนย์กลาง
1,162,cereal,n.,ซีเรียล,"ธัญพืช, เมล็ดข้าว"
1,163,chair,n.,แชร์,"เก้าอี้, ตำแหน่งการงาน"
1,164,change,v.,เชนจฺ,เปลี่ยนแปลง
1,165,charming,adj.,ชาร์มมิ่ง,"จับใจ, ยั่วยวน, มีเสน่ห์"
1,166,chart,n.,ชาร์ท,"แผนภูมิ, ผัง"
1,167,chat,v.,แชท,"สนทนา, พูดคุย"
1,168,cheap,adj.,ชีพ,ราคาถูก
1,169,check,v.,เชค,"ขีดกากบาท, ตรวจสอบ"
1,170,cheese,n.,ชีส,"เนยแข็ง, ชีส"
1,171,cheesecake,n.,ชีสเคก,ขนมซีสเค้ก
1,172,cheetah,n.,ชีทาร์,เสือชีต้า
1,173,chef,n.,เชฟ,หัวหน้าคนครัว
1,174,cherry,n.,เชอร์รี่,ผลเชอร์รี่
1,175,chess,n.,เชส,เกมหมากรุก
1,176,chicken,n.,ชิคเคิน,ไก่
1,177,children,n.,ชิลเดรน,เด็ก
1,178,chocolate,n.,ชอคคะเลิท,ช็อกโกแลต
1,179,chocolate cake,n.,ชอคคะเลิท เคก,เค้กช็อกโกแลต
1,180,chop,v.,ชอพ,สับ
1,181,chopstick,n.,ชอพสติก,ตะเกียบ
1,182,church,n.,เชิร์ช,โบสถ์
1,183,cinema,n.,ซินนะมา,โรงภาพยนตร์
1,184,circle,n.,เซอเคิล,วงกลม
1,185,city,n.,ซิที่,เมือง
1,186,clap,v.,แคลพ,ปรบมือ
1,187,class,n.,คลาส,ห้องเรียน
1,188,classmate,n.,คลาสเมท,เพื่อนร่วมชั้น
1,189,clean,adj.,คลีน,สะอาด
1,190,clean up,v.,คลีน อัพ,ทำให้เป็นระเบียบเรียบร้อย
1,191,clear,adj.,เคลียร์,"ชัดเจน, สะอาด"
1,192,clerk,n.,เคลิค,เสมียน
1,193,clever,adj.,เคลฟเวอะ,ฉลาด
1,194,climb,v.,คลามบฺ,"ปีน, ไต่"
1,195,close,adj.,โคลส,"ใกล้ชิด, สนิท"
1,196,closet,n.,โคลสซิท,"ห้องส้วม, ห้องน้ำ, ตู้ติดผนัง"
1,197,clothes,n.,โคลธซฺ,"เสื้อผ้า, เครื่องนุ่งหม"
1,198,clothing,v.,โคลธิ่ง,"เสื้อผ้า, เครื่องนุ่งห่ม"
1,199,cloud,n.,คลาวดฺ,เมฆ
1,200,cloudy,adj.,คลาวดี้,"เต็มไปด้วยกลุ่มเมฆ, มืดมัว, เศร้าซึม"
1,201,club,n.,คลับ,"สโมสร, ชมรม"
1,202,Coach,n.,โคช,ผู้ฝึกสอน
1,203,coat,n.,โคท,"เสื้อคลุม, เสื้อนอก, ขนสัตว์"
1,204,cockroach,n.,คอคโรช,แมลงสาบ
1,205,coffee,n.,คอฟฟี่,กาแฟ
1,206,cold,adj.,โคลดฺ,หนาวเย็น
1,207,collection,n.,คอลเลคเชิน,การสะสม
1,208,college,n.,คอลลิจ,วิทยาลัย
1,209,color,n.,คัลเลอะ,สี
1,210,comb,n.,โคมบฺ,"รวงผึ้ง, หวี"
1,211,come,v.,คัม,"มา, ปรากฏ"
1,212,comic,n.,คอมมิค,"หนังสือการ์ตูน, ตัวละครตลก"
1,213,company,n.,คัมพานี,บริษัท
1,214,compass,n.,คัมเพิส,เข็มทิศ
1,215,computer,n.,คัมพิวเทอะ,คอมพิวเตอร์
1,216,concert,n.,คอนเซิท,คอนเสิร์ต
1,217,confident,adj.,คอนฟิเดินทฺ,รู้สึกแน่ใจรู้สึกมั่นใจ
1,218,continue,v.,คันทินิว,ทำต่อไป
1,219,control,v.,คันโทรว,ควบคุม
1,220,conversation,n.,คอนวะเซเชิน,การสนทนา
1,221,cook,v.,คุก,"ทำกับข้าว, ประกอบอาหาร"
1,222,cool,adj.,คุล,เย็นสบาย
1,223,corn,n.,คอร์น,ข้าวโพด
1,224,corner,n.,คอร์เนอะ,"มุม, หัวเลี้ยว"
1,225,correct,v.,เคอะเรคทฺ,ทำให้ถูกต้อง
1,226,cost,n.,คอสทฺ,"ทุน, ค่าใช้จ่าย"
1,227,costume,n.,คอสทูม,เครื่องแต่งกาย
1,228,cotton,n.,คัทเทิน,ฝ้าย
1,229,cough,n.,คัฟ,"เสียงไอ, การไอ"
1,230,count,v.,เคาทฺ,นับ
1,231,country,n.,คันทรี,ประเทศ
1,232,couple,n.,คัพเพิล,"คู่, สามีภรรยา, คู่หมั้น"
1,233,cousin,n.,คัซเซิน,ลูกพี่ลูกน้อง
1,234,crazy,adj.,เครซี่,บ้า
1,235,credit card,n.,เครดิท คาร์ด,บัตรเครดิต
1,236,crocodile,n.,ครอคคะไดลฺ,จระเข้
1,237,cry,v.,คราย,ร้องไห้
1,238,curly,adj.,เคอร์ลี่,"งอ, เป็นลอน"
1,239,cut,v.,คัท,"ตัด, ลด"
1,240,cute,adj.,คิวทฺ,น่ารัก
1,241,cycle,n.,ไซเคิล,"วงเวียน, วัฏจักร, รถจักรยาน"
1,242,dad,n.,แดด,พ่อ
1,243,dance,v.,แดนซฺ,เต้นรำ
1,244,dangerous,adj.,เดนเจอเริส,เป็นอันตราย
1,245,dark,adj.,ดาร์ก,ความมืด
1,246,date,n.,เดท,วันที่
1,247,daughter,n.,ดอเธอะ,ลูกสาว
1,248,day,n.,เด,"กลางวัน, วัน"
1,249,December,n.,ดีเซมเบอะ,เดือนธันวาคม
1,250,delicious,adj.,ดิลิชเชิส,"อร่อย, กลมกล่อม"
1,251,dentist,n.,เดนทิสทฺ,หมอฟัน
1,252,desert,n.,เดซเซิท,ทะเลทราย
1,253,design,v.,ดีไซนฺ,"คิดค้น, ออกแบบ"
1,254,designer,n.,ดีไซเนอะ,"ผู้ออกแบบ, ดีไซเนอร์"
1,255,dessert,n.,ดีเซิท,ของหวาน
1,256,diary,n.,ไดอะรี่,สมุดบันทึกประจำวัน
1,257,dice,n.,ไดซฺ,ลูกเต๋า
1,258,dictionary,n.,ดิคเชินนะรี่,พจนานุกรม
1,259,die,v.,ดาย,"ตาย, พินาศ, หยุด"
1,260,difficult,adj.,ดิฟฟะคัลทฺ,"ยาก, ลำบาก"
1,261,dig,v.,ดิก,"ขุด, เจาะ"
1,262,dinner,n.,ดินเนอะ,อาหารค่ำ
1,263,dinosaur,n.,ไดโนซอร์,ไดโนเสาร์
1,264,direction,n.,ดิเรคเชิน,"ทิศทาง, การควบคุมหรือการจัดการ"
1,265,dirty,adj.,เดอร์ที,สกปรก
1,266,disco,n.,ดิสโค,"ไนท์คลับ, ดิสโก"
1,267,dish,n.,ดิช,"จาน, อาหาร"
1,268,dislike,v.,ดิสไลคฺ,ไม่ชอบ
1,269,doctor,n.,ดอคเทอะ,"หมอ, แพทย์"
1,270,dollar,n.,ดอลล่า,ดอลลาร์ (หน่วยเงินตรา)
1,271,dolphin,n.,ดอลฟิน,ปลาโลมา
1,272,doorbell,n.,ดอร์เบล,กริ่งหน้าประตู
1,273,dot,n.,ดอท,จุด
1,274,dough,n.,โด,ส่วนผสมขนมปัง
1,275,doughnut,n.,โดนัท,ขนมโดนัท
1,276,dozen,n.,ดอซเซิน,1 โหล
1,277,dragon,n.,แดรกเกิ่น,มังกร
1,278,drama,n.,ดราม่า,"บทละคร, เรื่องละคร, ละคร"
1,279,draw,v.,ดรอวฺ,"ดึง, ลาก, วาดรูป"
1,280,dream,n.,ดรีม,"ความฝัน, การเพ้อฝัน"
1,281,dress,n.,เดรส,"เครื่องแต่งกาย, เสื้อชุด"
1,282,drink,v.,ดริงคฺ,"ดื่ม, ดูด, ดูดดื่ม"
1,283,drinker,adj.,ดริงเคอะ,"คนดื่ม, นักดื่มเหล้า"
1,284,driver,n.,ไดรฟเวอะ,คนขับรถ
1,285,Dutch,adj.,ดัทชฺ,เกี่ยวกับประชาชนและภาษาของเนเธอร์แลนด์
1,286,eagle,n.,อีเกิล,นกอินทรี
1,287,early,adv.,เออลี่,"เช้า, แต่เช้า, ก่อนเวลากำหนด"
1,288,easy,adj.,อีซซี่,"ง่าย, สบาย"
1,289,eat,v.,อีท,"กินอาหาร, รับประทานอาหาร"
1,290,education,n.,เอดจุเคเชิน,การศึกษา
1,291,elephant,n.,เอลเลอะเฟินทฺ,ช้าง
1,292,e-mail,n.,อีเมล,จดหมายอิเล็กทรอนิคส์
1,293,end,v.,เอนดฺ,"จบ, ท้ายสุด, ลงท้าย"
1,294,energy,n.,เอนเนอจี,พลังงาน
1,295,England,n.,อิงเลินดฺ,ประเทศอังกฤษ
1,296,English,n.,อิงลิช,ภาษาอังกฤษ
1,297,enjoy,v.,เอนจอย,สนุก
1,298,environment,n.,เอนไวเรินเมินทฺ,สิ่งแวดล้อม
1,299,evening,n.,อีฟนิ่ง,ตอนเย็น
1,300,event,n.,อีเวินทฺ,"เหตุการณ์, ผล"
1,301,every,adj.,เอฟวรี่,ทุกๆ
1,302,evil,n.,อีเวิล,"ความชั่ว, ความเลวร้าย"
1,303,exam,n.,อิกแซม,"การสอบ, การทดสอบ"
1,304,example,n.,อิกแซมเพิล,"เป็นตัวอย่าง, แบบอย่าง"
1,305,excellent,adj.,เอกเซอะเลินทฺ,"ดีเด่น, เยี่ยม"
1,306,excited,adj.,อิกไซเทด,ตื่นเต้นดีใจ
1,307,exciting,adj.,อิกไซทิ่ง,น่าตื่นเต้น
1,308,exercise,n.,เอคเซอไซซ,"การออกกำลังกาย, แบบฝึกหัด"
1,309,exit,n.,เอกซิท,ทางออก
1,310,expensive,adj.,อิกซเปนซีฟ,มีราคาแพง
1,311,experience,n.,อิกซเปียเรียนซฺ,ประสบการณ์
1,312,extra,adj.,เอกซตรา,"เป็นพิเศษ, พิเศษ"
1,313,eye,n.,อาย,ตา
1,314,far,adv.,ฟาร์,ไกล
1,315,farmer,n.,ฟาร์เมอะ,เกษตรกร
1,316,farther,adv.,ฟาร์เธอะ,ไกลออกไป
1,317,fast,adj.,ฟาสทฺ,เร็ว
1,318,fast food,n.,ฟาสทฺฟูด,อาหารจานด่วน
1,319,favorite,n.,เฟเวอริท,คนหรือสิ่งของที่เป็นที่ชื่นชอบ
1,320,fax,n.,แฟกซฺ,โทรสาร
1,321,feather,n.,เฟทเธอะ,"ขนนก, ไรผม"
1,322,feel,v.,ฟีล,รู้สึก
1,323,female,n.,ฟีเมล,สตรีหรือเพศหญิง
1,324,festival,n.,เฟสทิเวิล,วันเฉลิมฉลอง
1,325,few,adj.,ฟิว,"น้อยมาก, สองสามสิ่ง"
1,326,fill,v.,ฟิล,ทำให้เต็ม
1,327,film,n.,ฟิล์ม,ภาพยนตร์
1,328,final,adj.,ไฟนอล,สุดท้าย
1,329,find,v.,ไฟนดฺ,"พบ, หา"
1,330,finger,n.,ฟิงเกอะ,นิ้วมือ
1,331,finish,v.,ฟินิช,"สำเร็จ, เสร็จ"
1,332,fire,n.,ไฟเออะ,"ไฟ, กองไฟ"
1,333,first,n.,เฟิร์สทฺ,ลำดับแรก
1,334,first day,n.,เฟิร์สทฺ เด,วันแรก
1,335,fishing,n.,ฟิชชิ่ง,"การจับปลา, ตกปลา"
1,336,fit,v.,ฟิท,"เหมาะสม, พอดี, กระชับ"
1,337,flag,n.,แฟลก,ธง
1,338,floor,n.,ฟลอร์,พื้น
1,339,flour,n.,ฟลาวเออะ,แป้งทำขนมหรืออาหาร
1,340,flower,n.,ฟลาวเวอะ,ดอกไม้
1,341,fly,v.,ฟลาย,"บิน, ขับเครื่องบิน, ทำให้ลอย"
1,342,foggy,adj.,ฟอกกี,มีหมอกมาก
1,343,food,n.,ฟูด,อาหาร
1,344,football,n.,ฟุทบอล,ฟุตบอล
1,345,for,prep.,ฟอร์,"สำหรับ, เพื่อ"
1,346,forest,n.,ฟอร์เรสทฺ,ป่า
1,347,forever,adv.,ฟอเรฟเวอะ,"นิรันดร, ตลอดไป"
1,348,forget,v.,ฟอร์เกท,ลืม
1,349,form,n.,ฟอร์ม,รูปแบบ
1,350,formal,adj.,ฟอร์มอล,"ตามธรรมเนียม, เป็นทางการ"
1,351,free,adj.,ฟรี,"มีอิสระ, เสรีภาพ, ฟรี"
1,352,free time,n.,ฟรี ไทมฺ,เวลาว่าง
1,353,freeze,n.,ฟรีซ,อากาศเย็นถึงจุดเยือกแข็ง
1,354,French,n.,เฟรนชฺ,ชาวฝรั่งเศส
1,355,frequency,n.,ฟรีเควินซี่,ความถี่
1,356,Friday,n.,ฟรายเด,วันศุกร์
1,357,friend,n.,เฟรนดฺ,"เพื่อน, มิตร, สหาย"
1,358,friendly,adj.,เฟรนดลี,เป็นมิตร
1,359,frog,n.,ฟรอก,กบ
1,360,fruit,n.,ฟรุท,ผลไม้
1,361,fry,v.,ฟราย,ทอด
1,362,fun,n.,ฟัน,ความสนุกสนาน
1,363,funny,adj.,ฟันนี,ตลก
1,364,fur,n.,เฟอ,ขนสัตว์
1,365,future,n.,ฟิวเชอะ,อนาคต
1,366,game,n.,เกม,เกม
1,367,garage,n.,การ์ราจ,โรงรถ
1,368,garden,n.,การ์เดิน,"สวน, อุทยาน"
1,369,garlic,n.,การ์ลิค,กระเทียม
1,370,gas,n.,แกส,ก๊าซ
1,371,geography,n.,จีออกราฟฟี่,ภูมิศาสตร์
1,372,German,n.,เจอร์เมิน,ชาวเยอรมัน
1,373,get,v.,เกท,"เอา, ได้รับ, เข้าใจ"
1,374,get up,v.,เกท อัพ,ยืนขึ้น
1,375,ghost,n.,โกสทฺ,"ภูต, ผี"
1,376,gift,n.,กิฟทฺ,ของขวัญ
1,377,girl,n.,เกิร์ล,เด็กผู้หญิง
1,378,give,v.,กิวฟฺ,"ให้, มอบ"
1,379,glass,n.,กลาส,"แก้วน้ำ, กระจก"
1,380,glove,n.,โกลวฟฺ,ถุงมือ
1,381,go,v.,โก,ไป
1,382,goat,n.,โกท,แพะ
1,383,God,n.,กอด,พระเจ้า
1,384,goddess,n.,กอดดิส,เทพธิดา
1,385,golden,adj.,โกลเดิน,สีทอง
1,386,golf,n.,กอล์ฟ,กีฬากอล์ฟ
1,387,good,adj.,กูด,"ดี, มีคุณธรรม"
1,388,gorilla,n.,กอริลล่า,กอริล่า
1,389,grade,n.,เกรด,ระดับ
1,390,grandma,n.,แกรนม่า,ย่าหรือยาย
1,391,grandpa,n.,แกรนพ่า,ปู่หรือตา
1,392,grandparent,n.,แกรนพาเรินทฺ,ปู่ย่าตายาย
1,393,grass,n.,กราส,หญ้า
1,394,grasshopper,n.,กราสฮอพเพอะ,ตั๊กแตน
1,395,gray,adj.,เกร,สีเทา
1,396,great,adj.,เกรท,"ใหญ่, ยิ่งใหญ่, ดี"
1,397,Greece,n.,กรีส,ประเทศกรีซ
1,398,Greek,n.,กรีก,"ชาวกรีก, ภาษากรีก"
1,399,green,n.,กรีน,สีเขียว
1,400,greet,v.,กรีท,"ทักทาย, คำนับ"
1,401,group,n.,กรุพ,"กลุ่ม, หมู่"
1,402,grow,v.,โกรวฺ,"ปลูก, เติบโต, งอกงาม"
1,403,guitar,n.,กีท่าร์,กีตาร์
1,404,gum,n.,กัม,"ยางไม้, หมากฝรั่ง"
1,405,guy,n.,กาย,"คนนั้น, หมอนั่น"
1,406,gym,n.,จิม,โรงยิม
1,407,hair,n.,แฮร์,"ผม, ขน"
1,408,hairbrush,n.,แอร์บรัช,หวีแปรง
1,409,haircut,n.,แอร์คัท,การตัดผม
1,410,half,n.,ฮาล์ฟ,ครึ่ง
1,411,hamburger,n.,แฮมเบอเกอะ,แฮมเบอร์เกอร์
1,412,handsome,adj.,แฮนดฺเซิม,หล่อ
1,413,happen,v.,แฮพเพิน,"ปรากฏ, เกิดขึ้น"
1,414,happy,adj.,แฮพพี,"โชคดี, มีความสุข"
1,415,hard,adj.,ฮาร์ด,"แข็ง, ยาก, ลำบาก"
1,416,hate,v.,เฮท,เกลียด
1,417,head,n.,เฮด,ศีรษะ
1,418,headache,n.,เฮดเดค,อาการปวดศีรษะ
1,419,health,n.,เฮลธฺ,สุขภาพ
1,420,healthy,adj.,เฮลธี,"มีประโยชน์ต่อสุขภาพ, สุขภาพดี"
1,421,hear,v.,เฮีย,ได้ยิน
1,422,heart,n.,ฮาร์ทฺ,หัวใจ
1,423,heaven,n.,เฮฟเวิน,สวรรค์
1,424,heavy,adj.,เฮฟวี,น้ำหนักมาก
1,425,height,n.,ไฮทฺ,"ความสูง, ระดับสูง"
1,426,helicopter,n.,เฮลิคอพเทอะ,เฮลิคอปเตอร์
1,427,hello,interj.,เฮลโล,คำแสดงการทักทาย
1,428,help,v.,เฮลพฺ,ช่วย
1,429,here,adv.,เฮีย,"ที่นี้, ตรงนี้"
1,430,hero,n.,ฮีโร่ว,วีรบุรุษ
1,431,hey,interj.,เฮ,คำอุทานเพื่อทักทาย
1,432,hi,interj.,ไฮ,คำอุทานทักทาย
1,433,hide,v.,ไฮดฺ,"ซ่อน, บัง, ปกคลุม"
1,434,high,adj.,ไฮ,สูง
1,435,hill,n.,ฮิล,เนินเขา
1,436,hippo,n.,ฮิพโพ,ฮิปโป
1,437,history,n.,ฮิสทรี่,ประวัติศาสตร์
1,438,hit,v.,ฮิท,"ต่อย, ตี"
1,439,hobby,n.,ฮอบบี,งานอดิเรก
1,440,hole,n.,โฮล,"รู, โพลง"
1,441,holiday,n.,ฮอลิเด,"เทศกาล, วันนักขัตฤกษ, วันหยุดราชการ"
1,442,home,n.,โฮม,บ้าน
1,443,homesick,adj.,โฮมซิค,คิดถึงบ้าน
1,444,homework,n.,โฮมเวิร์ค,การบ้าน
1,445,honest,adj.,ออนนิสทฺ,ซื่อสัตย์
1,446,honey,n.,ฮันนี,น้ำผึ้ง
1,447,hop,v.,ฮอพ,กระโดด
1,448,horse,n.,ฮอร์ส,ม้า
