item,word,part_of_speech,pronunciation,meaning
86,booth,n.,บูธ,ร้านขายของแผงลอย
87,bore,v.,บอร์,ทำให้น่าเบื่อ
88,both,adj.,โบธ,"ทั้งสอง, ทั้งคู่"
89,bother,v.,บอธเธอะ,"รบกวน, ทำให้วุ่นวาย"
90,bounce,v.,เบาซฺ,"เด้ง, กระโดด"
91,bow,v.,บาว,โค้งคำนับ
92,bracelet,n.,เบรซเลท,"กำไลมือ, กุญแจมือ"
93,brave,adj.,เบรฟ,"กล้าหาญ, อดทน, ฝ่าผจญ"
94,breath,n.,เบรธ,ลมหายใจ
95,breathing,n.,บรีธธิง,การหายใจ
96,breed,v.,บรีด,ผสมพันธุ์
97,breeze,n.,บรีซ,ลมอ่อนๆ
98,bride,n.,ไบรดฺ,เจ้าสาว
99,brief,adj.,บรีฟ,"ชั่วคราว, รวบรัด"
100,briefcase,n.,บรีฟเคส,กระเป๋าใส่เอกสาร
101,bright,adj.,ไบรทฺ,"แจ่มใส, ฉลาด, สดใส, สว่าง"
102,brilliant,adj.,บริลเยินทฺ,"ฉลาดมาก, โชติช่วง"
103,bring,v.,บริง,นำมา
104,brochure,n.,โบรชัวร์,แผ่นพับสำหรับโฆษณา
105,brooch,n.,บรูช,เข็มกลัด
106,budget,n.,บัดเจท,งบประมาณ
107,buffet,n.,บัฟเฟ,อาหารที่ต้องบริการตัวเอง
108,building,n.,บิวดิง,"ตึก, สิ่งก่อสร้าง"
109,business card,n.,บิซซิเนส คาร์ด,นามบัตร
110,cafeteria,n.,แคฟฟิเทอเรีย,โรงอาหารที่ต้องบริการตัวเอง
111,caller,n.,คอลเลอะ,ผู้โทร
112,calm,adj.,คาล์ม,สงบ
113,camping,n.,แคมพิ่ง,การเข้าค่าย
114,cane,n.,เคน,ไม้เท้า
115,canoe,n.,คะนู,เรือแคนนู
116,canvas,n.,แคนเวิส,"ใบเรือ, ผ้าใบ"
117,Capricorn,n.,แคพริคอร์น,ราศีมังกร
118,caravan,n.,แคระวาน,"รถนอน, ขบวนอูฐหรือยานพาหนะ"
119,career,n.,คะเรียร์,"งาน, อาชีพ"
120,carriage,n.,แคร์ริอิจ,รถม้าสี่ล้อ
121,carsick,adj.,คาร์ซิค,เมารถ
122,carve,v.,คาร์ฟ,แกะสลัก
123,carving,n.,คาร์ฟวิง,"การแกะสลัก, งานแกะสลัก"
124,cash machine,n.,แคช มะชีน,เครื่องกดเงินสด
125,cassette,n.,คะเซท,ตลับเทป
126,cast,v.,แคสทฺ,"เลือกคนแสดง, กำหนด"
127,castle,n.,แคสเซิล,ปราสาท
128,casual,adj.,แคสชวล,"โดยบังเอิญ, ไม่เป็นทางการ"
129,catch,v.,แคทชฺ,"จับ, จับได้, จับประเด็น"
130,cause,n.,คอส,สาเหตุ
131,cave,n.,เคฟ,"ถ้ำ, โพรง, อุโมงค์"
132,caviar,n.,คาฟเวียร์,ไข่ปลาคาเวียร์ได้มาจากปลาสเตอเจียน
133,celebrate,v.,เซลละเบรท,เฉลิมฉลอง
134,celebration,n.,เซลละเบรเชิน,การเฉลิมฉลอง
135,celebrity,n.,ซะเลบบริที,บุคคลที่มีชื่อเสียง
136,central,adj.,เซนทรัล,ซึ่งเป็นศูนย์กลาง
137,century,n.,เซนซิวรี,ศตวรรษ
138,chain,n.,เชน,"เครื่องผูกมัด, โซ่"
139,channel,n.,แชลเนิล,ช่องสัญญาณของโทรทัศน์/วิทยุ
140,chase,v.,เชส,ไล่ตาม
141,chauffeur,n.,โชฟเฟอะ,คนขับรถแท็กซี่
142,check in,v.,เชค อิน,ลงทะเบียนเข้าพักในโรงแรม
143,check out,v.,เชค เอาทฺ,"แจ้งออก, แจ้งออกจากโรงแรม"
144,cheer up,v.,เชียร์ อัพ,ให้กำลังใจ
145,chew,v.,ชูว,เคี้ยว
146,choice,n.,ชอยซฺ,ตัวเลือก
147,choose,v.,ชูส,เลือก
148,chore,n.,ชอร์,งานเล็กๆน้อยๆในบ้าน
149,chorus,n.,คอรัส,คณะขับร้องหมู
150,cigarette,n.,ซิกาเรท,บุหรี่
151,citizen,n.,ซิททิเซิน,พลเมือง
152,classical,adj.,คลาสสิเคิล,ที่เป็นแบบดั้งเดิม
153,classical music,n.,คลาสสิเคิล มิวสิค,เพลงคลาสสิก
154,clay,n.,เคลย์,"ดินเหนียว, โคลน"
155,client,n.,ไคลเอินทฺ,ลูกค้า
156,climate,n.,ไคลเมท,ภูมิอากาศ
157,clown,n.,คลาวนฺ,ตัวตลก
158,clue,n.,คลู,"เงื่อนงำ, เบาะแส, ร่องรอย"
159,coal,n.,โคลฺ,ถ่านหิน
160,coast,n.,โคสทฺ,ชายฝั่ง
161,coastline,n.,โคสทฺไลนฺ,แนวชายฝงทะเล
162,code,n.,โคด,"รหัส, เครื่องหมาย"
163,collar,n.,คอลละ,ปลอกคอ
164,collect,v.,คะเรคทฺ,สะสม
165,colorful,adj.,คัลเลอะเฟิล,มีสีสรรค์
166,column,n.,คอลลัมนฺ,แถว
167,combat,v.,คัมแบท,"สู้, สู้รบ"
168,come along,v.,คัม อะลอง,มาด้วยกัน
169,come out,v.,คัม เอาทฺ,"ปรากฏให้เห็น, เป็นที่รู้จัก"
170,comedy,n.,คอมมีดี,ละครตลก
171,common,adj.,คอมเมิน,"ธรรมดา, สามัญ"
172,communication,n.,คะมิวนิเคเชิน,การติดต่อสื่อสาร
173,compare,v.,คัมแพร์,เปรียบเทียบ
174,concept,n.,คอนเซพทฺ,"ความคิดรวบยอด, กรอบความคิด"
175,conclusion,n.,คันคลูเชิน,การสรุป
176,condition,n.,คันดิชเชิน,"เงื่อนไข, สภาวะ"
177,confidence,n.,คอนฟิเดินทฺ,ความมั่นใจ
178,confuse,v.,คันฟิวซฺ,"ทำให้สับสน, ทำให้งง"
179,congratulations,n.,คันแกรทชูเลเชินซฺ,การแสดงความยินดี
180,connect,v.,คะเนคทฺ,"เชื่อมกับ, เกี่ยวข้อง"
181,connection,n.,คะเนตทฺเชิน,การเชื่อมต่อ
182,contain,v.,คันเทน,"บรรจุ, ประกอบด้วย"
183,container,n.,คันเทเนอะ,ตู้บรรจุสินค้า
184,contest,n.,คอนเทสทฺ,"การแข่งขัน, การประกวด"
185,continent,n.,คอนทะเนินทฺ,ทวีป
186,contract,n.,คอนแทรคทฺ,"สัญญา, ข้อตกลง"
187,contrast,n.,คอนแทรสทฺ,"ความตรงข้าม, ความผิดแผก"
188,correctly,adv.,คะเรคฺลี,อย่างถูกต้อง
189,corridor,n.,คอริดอร์,ระเบียง
190,cosmetic,n.,คอสเมททิค,เครื่องสำอาง
191,countable,adj.,เคาทะเบิล,ที่สามารถนับได้
192,counter,n.,เคาเทอะ,เคาน์เตอร์
193,countryside,n.,คันทรีไซดฺ,ชนบท
194,course,n.,คอร์ส,หลักสูตร
195,cover,v.,คัฟเวอร์,"ปกคลุม, ครอบคลุม"
196,craft,n.,คราฟทฺ,งานหัตถกรรม
197,crash,v.,แครช,"ชน, ปะทะ"
198,creamy,adj.,ครีมมี,ที่เป็นครีม
199,creative,adj.,ครีเอทีฟ,ซึ่งมีความคิดที่สร้างสรรค์
200,crispy,adj.,คริสพี,"เปราะ, กรอบ"
201,crop,n.,ครอพ,"พืชผล, ธัญพืช"
202,cross,n.,ครอส,รูปกากบาท
203,crossing,n.,ครอสซิง,จุดตัดกัน
204,cross-over,n.,ครอส โอเวอะ,"การข้าม, สะพาน"
205,crowded,adj.,เคราดิด,"แออัด, เบียดเสียดยัดเยียด"
206,cruise,n.,ครุยซฺ,เรือนำเที่ยว
207,crush,v.,ครัช,"ชน, ขยี้, ทำลาย"
208,crystal,n.,คริสเทิล,"คริสตัล, ผลึก, สารผลึก"
209,cub,n.,คับ,ลูกสัตว์
210,cue,n.,คิว,"การบอกเป็นนัย, ไม้คิว"
211,curve,adj.,เคิร์ฟ,"โค้ง, เว้า"
212,customer,n.,คัสเติมเมอะ,ลูกค้า
213,cut out,v.,คัท เอาทฺ,"ตัดออก, ปลดออก, เลิกหยุด"
214,cut up,v.,คัท อัพ,ตัดเป็นชิ้นเล็กชิ้นน้อย
215,daily,adj.,เดลิ,"ทุกวัน, ประจำวัน"
216,damage,n.,แดมมิจ,ความเสียหาย
217,decide,v.,ดิไซดฺ,"ตกลงใจ, ตัดสินใจ"
218,decision,n.,ดิซิสเชิน,"การพิจารณา, การตัดสินใจ"
219,decorate,v.,เดคคะเรท,ประดับ
220,decoration,n.,เดคคะเรเชิน,"การตกแต่ง, เครื่องตกแต่ง"
221,decrease,v.,ดีครีส,"ทำให้ลดลง, ทำให้สั้นเข้า"
222,degree,n.,ดีกรี,"ความเข้มข้น, ระดับ, องศา"
223,delay,n.,ดีเล,ความชักช้า
224,denim,n.,เดนิม,ผ้าฝ้ายหยาบสีน้ำเงิน
225,detail,n.,ดีเทล,รายละเอียด
226,detective,n.,ดิเทคทิฟ,นักสืบ
227,develop,v.,ดิเวลเลิพ,พัฒนา
228,dialogue,n.,ไดอะลอก,"บทสนทนา, การสนทนา"
229,dictation,n.,ดอกเทเชิน,"การบอกให้เขียนตามคำบอก, การบงการ"
230,die out,v.,ได เอาทฺ,"สูญพันธุ์, หายสาบสูญไป"
231,diet,n.,ไดเอท,"อาหาร, การควบคุมอาหาร"
232,difference,adj.,ดิฟเฟอเรินซฺ,ความแตกต่าง
233,diligent,adj.,ดิลิเจินทฺ,"ขยันหมั่นเพียร, บากบั่น"
234,diploma,n.,ดิโพลมะ,ประกาศนียบัตร
235,director,n.,ดิเรคเทอะ,"ผู้อำนวยการ, ผู้กำกับการแสดง"
236,disagree,v.,ดิสอะกรี,"ไม่เห็นด้วย, โต้แย้ง"
237,disappear,v.,ดิสอะเพียร์,"หายตัว, สูญหาย"
238,disappoint,v.,ดิสอะพอยทฺ,ทำให้ผิดหวัง
239,disaster,n.,ดิซาสเทอะ,ความหายนะ
240,discover,v.,ดิสคัฟเวอะ,"ค้นพบ, ตรวขพบ, เจอ"
241,disgusting,adj.,ดิสกัสทิง,น่ารังเกียจ
242,display,v.,ดิสเพล,"แสดง, เปิดเผย"
243,dive,v.,ไดฟฺ,"กระโดดน้ำ, ดำน้ำ"
244,dizzy,adj.,ดิซซี,"หน้ามืด, ตาลาย, เวียนหัว"
245,double,adj.,ดัลเบิล,"สอง, สองต่อ, สองชั้น, ทวีคูณ"
246,downtown,n.,ดาวนฺทาวนฺ,ย่านธุรกิจ
247,drawer,n.,ดรอเออะ,"ลิ้นชัก, ผู้ถอนเงิน"
248,dress up,v.,เดรส อัพ,แต่งตัว
249,drummer,n.,ดรัมเมอะ,มือกลองในวงดนตรี
250,dryer,n.,ไดรเออะ,เครื่องเป่าแห้ง
251,dull,adj.,ดัล,"ทื่อ, โง่"
252,dump,v.,ดัมพฺ,"ทิ้ง, ทิ้งขยะ, ยกเลิก"
253,dumping,n.,ดัมพิง,"การเททิ้ง, การขจัดของเสียหรือขยะ"
254,during,prep.,ดิวริง,"ในระหว่าง, ในช่วงเวลา"
255,dust,n.,ดัสทฺ,ฝุ่น
256,each,adj.,อีช,"คนละ, แต่ละ"
257,eager,adj.,อีเกอะ,กระตือรือร้น
258,earn,v.,เอิร์น,ได้รับค่าจ้าง
259,earrings,n.,เอียร์ริง,ตุ้มหู
260,earthquake,n.,เอิร์ธเควก,แผ่นดินไหว
261,easily,adv.,อีซีลี,อย่างง่ายดาย
262,educate,v.,เอดจุเคท,ให้การศึกษา
263,elastic,adj.,อิแลสติค,ยืดหดได้
264,electric,adj.,อีเลคทริค,เกี่ยวกับไฟฟ้า
265,electric bulb,n.,อีเลคทริค บัลบฺ,หลอดไฟ
266,electricity,n.,อิเลคทริสซิที,ไฟฟ้า
267,electronic,adj.,อีเลคทรอนิค,เกี่ยวกับอุปกรณ์อิเล็กทรอนิกส์
268,elegant,adj.,เอลละเกินทฺ,"สง่างาม, สวยงาม"
269,emergency room,n.,อิเมอเจินซิ รูม,ห้องฉุกเฉิน
270,employee,n.,เอมพลอยอิ,ลูกจ้าง
271,employment,n.,เอมพลอนเมินทฺ,"การจ้าง, การใช้งาน"
272,empty,adj.,เอมพฺที,ว่างเปล่า
273,encyclopedia,n.,อินไซคละพีเดีย,สารานุกรม
274,enough,adj.,อินัฟ,พอเพียง
275,entertainer,n.,เอนเทอะเทนเนอะ,ผู้ให้ความบันเทิง
276,entertainment,n.,เอนเทอะเทนเมินทฺ,ความบันเทิง
277,entrance,n.,เอนเทรินซฺ,ทางเข้า
278,entry,n.,เอนทรี,การเข้า
279,episode,n.,เอพพิโซด,"ครั้ง, คราว, ฉาก, ตอน"
280,erase,v.,อีเรซ,ลบ
281,erect,adj.,อีเรคทฺ,"ตั้งชัน, ชู, โด่"
282,erupt,v.,อีรัพทฺ,ระเบิด
283,escape,v.,อีสเคพ,"รอดพ้นจาก, หนีออกมาจาก"
284,ever,adv.,เอฟเวอะ,ตลอดไป
285,everywhere,adv.,เอฟวรี่แสร์,ทุกหนทุกแห่ง
286,evidence,n.,เอฟวิเดินซฺ,หลักฐาน
287,exactly,adv.,อิคแซคทฺลี,"เที่ยงแท้, แน่นอน, ถูกต้องโดยแท้"
288,exchange,v.,อิคซฺเชนจฺ,แลกเปลี่ยน
289,exchange student,n.,อิคซฺเชนจฺ สติวเดินทฺ,นักเรียนแลกเปลี่ยน
290,exist,v.,เอคซิสทฺ,ดำรงอยู่
291,exotic,adj.,อิกซอททิค,เกี่ยวกับหรือมาจากต่างประเทศ
292,expand,v.,อิกซแพนดฺ,"ขยาย, ขยายตัว, เจริญขึ้น"
293,expansion,n.,อิกซแพนเชิน,การขยายตัว
294,expect,v.,อิกซฺเพคทฺ,"คาดหวัง, คาดการณ์"
295,expert,n.,เอกซเพิร์ท,ผู้เชี่ยวชาญ
296,explain,v.,เอกซฺเปลน,อธิบาย
297,explanation,n.,เอกซฺพละเนเชิน,คำอธิบาย
298,explore,v.,เอกซ์ปลอร์,"สำรวจ, ตรวจ"
299,explosion,n.,เอกซฺโพลเชิน,การระเบิด
300,export,v.,เอกซฺพอร์ท,ส่งสินค้าไปขายต่างประเทศ
301,express,v.,เอกซฺเพรส,"แสดงความคิด, การขนส่งด่วน"
302,farmhouse,n.,ฟาร์มเฮาส์,"บ้านไร่, บ้านในฟาร์ม"
303,fascinating,adj.,ฟาสซิเนธิง,"มีเสน่ห์, ที่ตรึงใจ"
304,fashion,n.,แฟเชิน,แฟชั่น
305,fashionable,adj.,แฟชเชินนะเบิล,ทันสมัย
306,fasten,v.,ฟาสเชิน,"ผูกแน่น, มัด, รัด"
307,fear,n.,เฟียร์,ความกลัว
308,feast,n.,ฟีสทฺ,กินเลี้ยง
309,fee,n.,ฟีสทฺ,"ค่าธรรมเนียม, ค่าเล่าเรียน"
310,fell,v.,เฟล,"ทำให้ล้ม, โค่น"
311,fence,n.,เฟนซฺ,รั้วล้อม
312,fiber,n.,ไฟเบอะ,เส้นใย
313,fiction,n.,ฟิคเชิน,นวนิยาย
314,field,n.,ฟิลดฺ,"ทุ่งนา, สนาม"
315,filmmaking,n.,ฟิล์มเมกเกอะ,การทำภาพยนตร์
316,finally,adv.,ไฟเนิลลี,"ในที่สุด, ประการสุดท้าย"
317,fireplace,n.,ไฟเออะ เพลส,เตาไฟ
318,firework,n.,ไฟเอะเวิร์ค,"ดอกไม้เพลิง, ประทัด"
319,firm,n.,เฟิร์ม,"หนักแน่น, มั่นคง"
320,firmly,adv.,เฟิร์มลี,"อยางหนักแน่น, อย่างมั่นคง"
321,first  class,n.,เฟิร์สคลาส,ที่นั่งชั้นหนึ่ง
322,flap,v.,แฟลพ,กระพือปีก
323,flash,v.,แฟลช,ส่องแสงวาบ
324,flashlight,n.,แฟลชไลทฺ,ไฟฉาย
325,flat,adj.,แฟลท,"ราบ, แบน"
326,flavor,n.,เฟลเวอะ,รสชาติ
327,flea,n.,ฟลี,ตัวหมัด
328,flight,n.,ไฟลทฺ,"การบิน, ฝูงบิน"
329,flirt,v.,เฟลิร์ท,"จีบ, เกี้ยวพาราสี"
330,float,v.,โฟลท,ลอยบนผิวน้ำหรืออากาศ
331,floating,adj.,โฟลททิง,ที่ลอยอยู่ในน้ำ
332,flow,v.,โฟลว,ไหล
333,focus,n.,โฟคัส,จุดรวม
334,focus,v.,โฟคัส,"จดจ่อ, เพ่ง, เล็ง"
335,focus on,v.,โฟคัส ออน,มุ่งความสนใจ
336,folk music,n.,โฟล์ค มิวสิค,"ดนตรีลูกทุ่ง, ดนตรีพื้นเมือง"
337,following,adj.,ฟอลโลวิง,"ซึ่งตามมา, ดังต่อไปนี้"
338,foolish,adj.,ฟูลลิช,"ดูน่าหัวเราะ, ดูโง่"
339,forehead,n.,ฟอร์เฮด,หน้าผาก
340,foreign,adj.,ฟอร์ริน,ต่างประเทศ
341,forward to,v.,ฟอร์เวิร์ด ทู,ส่งไปยัง
342,fountain,n.,เฟาเทิน,น้ำพุ
343,frame,n.,เฟรม,"กรอบ, โครง"
344,frequent,adj.,ฟรีเควินทฺ,"เป็นประจำ, สม่ำเสมอ"
345,frequently,adv.,ฟรีเควินทฺลี,"บ่อย, ถี่"
346,fuel,n.,ฟิวเอิล,เชื้อเพลิง
347,full,adj.,ฟูล,เต็ม
348,funeral,n.,ฟิวเนอะเริล,งานศพ
349,furnish,v.,เฟอร์นิช,ประดับ
350,furry,adj.,เฟอรี,ทำด้วยหรือประกอบด้วยหนังขนสัตว
351,gain,v.,เกน,ได้รับ
352,garbage,n.,การ์บิจ,ขยะ
353,gate,n.,เกท,ประตูรั้ว
354,general,adj.,เจนเนเริล,"ทั่วๆไป, ธรรมดา, ปกติ"
355,generally,adv.,เจนเนเริลลี,"โดยทั่วไป, ส่วนมาก"
356,generate,v.,เจนเนอเรท,"สร้างขึ้น, ผลิต, ทำให้เกิด"
357,generation,n.,เจนเนอเรเชิน,"การผลิต, ยุค, รุ่นอายุ"
358,generous,adj.,เจนนะเริส,"เหลือเฟือ, ใจกว้าง"
359,genius,n.,จีเนียส,อัจฉริยะ
360,gentle,adj.,เจนเทิล,"ผู้ดี, สุภาพอ่อนโยน"
361,gesture,n.,เจสเชอะ,ท่าทาง
362,get back,v.,เกท แบค,"กลับคืน, ได้รับคืน"
363,get into,v.,เกท อินทู,"ขึ้นรถ, เข้าไปใน"
364,get off,v.,เกท ออฟ,ลงจากรถ
365,get on,v.,เกท ออน,ดำเนินต่อไป
366,get out,v.,เกท เอาทฺ,ออกหรือหนี
367,get ready,v.,เกท เรดดี,เตรียมพร้อม
368,girlfriend,n.,เกิร์ลเฟรนดฺ,แฟนหญิง
369,give away,v.,กิฟ อะเว,แจกฟรี
370,give up,v.,กิฟ อัพ,"ยอมแพ้, ยกเลิก"
371,glad,adj.,แกลด,ดีใจ
372,global,adj.,โกลเบิล,เกี่ยวกับโลกทั้งหมด
373,glow,n.,โกลวฺ,แสงที่เปล่งออกมา
374,go away,v.,โก อะเว,"ออกจาก, หายไป"
375,go for,v.,โก ฟอร์,"เข้าไปคว้า, แสวงหา"
376,go off,v.,โก ออฟ,"ดับ, หยุด"
377,go on,v.,โก ออน,"เกิดขึ้น, ดำเนินต่อไป"
378,go out,v.,โก เอาทฺ,ออกไปข้างนอก
379,go up,v.,โก อัพ,"ไปยังที่สูงกว่า, ขึ้นราคา"
380,goal,n.,โกล,"จุดมุ่งหมาย, หลักชัย"
381,gossip,n.,กอสซิพ,การนินทา
382,gown,n.,กาวนฺ,เสื้อคลุมยาว
383,grab,v.,แกรบ,"คว้า, ฉวย"
384,graduate,v.,แกรดจุเอท,สำเร็จการศึกษา
385,graduation,n.,แกรดจุเอเชิน,"การสำเร็จการศึกษา, การได้รับปริญญา"
386,graphics,n.,แกรฟฟิคซฺ,ภาพกราฟฟิค
387,grassland,n.,กราสแลนดฺ,พื้นหญ้า
388,grill,v.,กริล,ย่างหรือปิ้ง
389,grocery,n.,โกรเซอรี,ร้านขายของชำ
390,groom,n.,กรูม,เจ้าบ่าว
391,ground,n.,กราวนดฺ,"ดิน, พื้นดิน, เขต"
392,grow up,v.,โกร อัพ,เติบโตขึ้น
393,grown,adj.,โกรน,"เติบโต, เป็นผูใหญ"
394,guard,n.,การ์ด,"เครื่องป้องกันภัย, ยาม, ผู้พิทักษ์"
395,guess,v.,เกส,เดา
396,guest,n.,เกสทฺ,"อาคันตุกะ, แขก"
397,guesthouse,n.,เกสทฺ เฮาส์,บ้านรับรองแขก
398,guide,v.,ไกดฺ,แนะแนว
399,guidebook,n.,ไกด์บุค,หนังสือคู่มือการเดินทางท่องเที่ยว
400,gypsum,n.,จิพเซิม,แร่ยิปซั่ม
401,hairdresser,n.,แฮร์เดรสเซอะ,ช่างตัดผม
402,hairdryer,n.,แฮร์ดรายเออะ,เครื่องเป่าผม
403,hammer,n.,แฮมเมอะ,ค้อน
404,hammock,n.,แฮมมอค,เปลญวน
405,hand out,v.,แฮนดฺ เอาทฺ,"บริจาค, มอบให้"
406,handicraft,n.,แฮนดิคราฟทฺ,งานฝีมือ
407,handkerchief,n.,แฮงเคอะชีฟ,ผ้าเช็ดหนา
408,hang,v.,แฮง,แขวน
409,hang out,v.,แฮง เอาทฺ,เตร็ดเตร่
410,hang up,v.,แฮง อัพ,"วางหูโทรศัพท์, แขวน, ทำให้ล่าช้า"
411,hardly,adv.,ฮาร์ดลี,"เกือบจะไม่, แทบจะไม่"
412,hardware,n.,ฮาร์ดฺแวร์,"เครื่องโลหะหรือเหล็ก, อุปกรณ์คอมพิวเตอร์"
413,hardworking,n.,ฮาร์ดเวิร์คคิง,การทำงานหนัก
414,harm,v.,ฮาร์ม,"ทำร้าย, ทำอันตราย"
415,haunt,v.,ฮอนทฺ,หลอกหลอน
416,have to,v.,แฮฟ ทู,ต้อง
417,headline,n.,เฮดไลน์,หัวเรื่อง
418,headmaster,n.,เฮดมาสเตอะ,"ครู, อาจารย์ใหญ่"
419,heart line,n.,ฮาร์ท ไลน์,เส้นหัวใจ
420,heat,n.,ฮีท,ความร้อน
421,heavy metal,n.,เฮฟวี่ เมทเทิล,ดนตรีร็อค
422,heel,n.,ฮีล,ส้นเท้า
423,help,v.,เฮลพฺ,ช่วยเหลือ
424,helpful,adj.,เฮลพฺฟูล,มีประโยชน์
